1	0261205195	ASOCIAȚIA CREȘTINĂ DE CARITATE SAMARITEANUL - GRADINITA SAMARITEANUL AGRIȘU MARE	GRADINITA SAMARITEANUL AGRIȘU MARE	AGRIŞU MARE	TÂRNOVA	ARAD	Cu personalitate juridică	Unitate de învățământ	Privată
2	0461208824	ASOCIAŢIA IACOB MICUL LORD	GRĂDINIŢA MICUL LORD	BACĂU	MUNICIPIUL BACĂU	BACĂU	Cu personalitate juridică	Unitate de învățământ	Privată
3	5142103685	CABINET INTERSCOLAR DE ASISTENTA PSIHOPEDAGOGICA LICEUL PEDAGOGIC STEFAN BANULESCU	CIAP LICEUL PEDADOGIC STEFAN BANULESCU	CĂLĂRAŞI	MUNICIPIUL CĂLĂRAŞI	CĂLĂRAŞI	Arondată	Centru județean de resurse și asistență educațională	Publică de interes naţional şi local
4	5142100248	CABINET INTERSCOLAR DE ASISTENTA PSIHOPEDAGOGICA LICEUL TEHNOLOGIC NR.1 BORCEA_SCOALA NR.1 PERISORU	CIAP LICEUL NR1 BORCEA_SCOALA PERISORU	BORCEA	BORCEA	CĂLĂRAŞI	Arondată	Centru județean de resurse și asistență educațională	Publică de interes naţional şi local
5	5142103694	CABINET INTERSCOLAR DE LOGOPEDIE SCOALA GIMNAZIALA NICOLAE TITULESCU CALARASI	CLI SCOALA GIMNAZIALA NICOLAE TITULESCU	CĂLĂRAŞI	MUNICIPIUL CĂLĂRAŞI	CĂLĂRAŞI	Arondată	Centru județean de resurse și asistență educațională	Publică de interes naţional şi local
6	5142100352	CABINET SCOLAR DE ASISTENTA PSIHOPEDAGOGICA - CABINET LOGOPEDIC OLTENITA	C.S.A.P.P.CABINET LOGOPEDIC OLTENITA	OLTENIŢA	MUNICIPIUL OLTENIŢA	CĂLĂRAŞI	Arondată	Centru județean de resurse și asistență educațională	Publică de interes naţional şi local
7	5142100325	CABINET SCOLAR DE ASISTENTA PSIHOPEDAGOGICA CALARASI - CABINET LOGOPEDIC	C.S.A.P.P CABINET LOGOPEDIC CALARASI	CĂLĂRAŞI	MUNICIPIUL CĂLĂRAŞI	CĂLĂRAŞI	Arondată	Centru județean de resurse și asistență educațională	Publică de interes naţional şi local
8	5142100203	CABINET SCOLAR DE ASISTENTA PSIHOPEDAGOGICA COLEGIUL AGRICOL ,,SANDU ALDEA" CALARASI	C.S.A.P.P. COL. AGRICOL CALARASI	CĂLĂRAŞI	MUNICIPIUL CĂLĂRAŞI	CĂLĂRAŞI	Arondată	Centru județean de resurse și asistență educațională	Publică de interes naţional şi local
9	5142100239	CABINET SCOLAR DE ASISTENTA PSIHOPEDAGOGICA COLEGIUL ECONOMIC CALARASI	C.S.A.P.P. COLEGIUL ECONOMIC CALARASI	CĂLĂRAŞI	MUNICIPIUL CĂLĂRAŞI	CĂLĂRAŞI	Arondată	Centru județean de resurse și asistență educațională	Publică de interes naţional şi local
10	5142100429	CABINET SCOLAR DE ASISTENTA PSIHOPEDAGOGICA COLEGIUL NATIONAL ,,BARBU STIRBEI" CALARASI	C.S.A.P.P. ,,BARBU STIRBEI" CALARASI	CĂLĂRAŞI	MUNICIPIUL CĂLĂRAŞI	CĂLĂRAŞI	Arondată	Centru județean de resurse și asistență educațională	Publică de interes naţional şi local
